"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"24/07/2026","ACCESS","46.64","16.20","31.90","31.90","31.90","31.90","0.00","30.00","31.90","820","26,158.00"
"24/07/2026","ADB","5.30","5.06","5.30","5.30","5.30","5.30","0.00","5.30","","0","0.00"
"24/07/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"24/07/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"24/07/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","0","0.00"
"24/07/2026","ALLGH","8.46","6.12","7.00","7.00","7.00","7.00","0.00","","6.89","6,875","48,052.12"
"24/07/2026","BOPP","100.00","55.82","79.99","79.99","79.99","79.99","0.00","","79.50","271","21,587.13"
"24/07/2026","CAL","0.94","0.61","0.79","0.79","0.80","0.80","0.01","0.79","0.80","465,914","372,731.20"
"24/07/2026","CLYD","4.50","0.46","4.39","4.39","4.50","4.50","0.11","4.50","","2,638","11,904.80"
"24/07/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"24/07/2026","CPC","0.16","0.05","0.15","0.15","0.16","0.16","0.01","0.16","","15,313","2,450.08"
"24/07/2026","DASPHARMA","0.44","0.38","0.44","0.44","0.44","0.44","0.00","0.48","","0","0.00"
"24/07/2026","EGH","57.00","25.00","38.05","38.05","38.32","38.32","0.27","38.05","38.06","6,029","230,761.74"
"24/07/2026","EGL","12.16","3.48","10.04","10.04","10.04","10.04","0.00","10.03","10.04","0","0.00"
"24/07/2026","ETI","2.82","0.76","1.95","1.95","1.97","1.97","0.02","1.96","2.00","115,786","229,108.35"
"24/07/2026","FML","16.35","8.00","13.30","13.30","13.30","13.30","0.00","13.30","","16,143","214,701.90"
"24/07/2026","FAB","8.40","7.71","8.40","8.40","8.40","8.40","0.00","8.00","9.24","0","0.00"
"24/07/2026","GCB","52.00","20.11","43.20","43.20","43.20","43.20","0.00","43.20","47.00","1,802","77,846.40"
"24/07/2026","GGBL","16.50","6.60","11.95","11.95","11.95","11.95","0.00","","11.95","2,610","31,189.50"
"24/07/2026","GOIL","8.01","2.96","7.96","7.96","7.96","7.96","0.00","7.96","","10,492","83,516.32"
"24/07/2026","KASA","2.30","1.20","2.03","2.03","2.01","2.01","-0.02","2.00","2.02","1,049,566","2,110,295.26"
"24/07/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","0","0.00"
"24/07/2026","MTNGH","7.00","4.20","6.98","6.98","7.00","7.00","0.02","7.00","7.20","903,387","6,323,717.10"
"24/07/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"24/07/2026","RBGH","5.58","1.30","4.20","4.20","4.32","4.32","0.12","4.34","4.40","40,566","175,348.04"
"24/07/2026","SCB","79.41","29.22","70.00","70.00","70.00","70.00","0.00","","70.00","115","8,050.00"
"24/07/2026","SIC","6.09","1.20","6.00","6.00","6.00","6.00","0.00","","6.00","28,587","171,522.00"
"24/07/2026","SOGEGH","11.51","4.49","6.80","6.80","7.00","7.00","0.20","6.80","7.00","28,089","196,623.00"
"24/07/2026","TBL","1.20","1.20","1.20","1.20","1.20","1.20","0.00","1.32","","0","0.00"
"24/07/2026","TOTAL","42.00","32.91","38.83","38.83","40.00","40.00","1.17","40.00","42.00","4,551","181,963.20"
"24/07/2026","TLW","13.11","11.92","13.11","13.11","13.11","13.11","0.00","13.11","14.00","12","157.32"
"24/07/2026","UNIL","30.00","19.79","29.50","29.50","29.50","29.50","0.00","29.50","","324","9,558.00"
"24/07/2026","ZEN","12.61","5.00","10.00","10.00","10.00","10.00","0.00","10.00","","334","3,340.00"
"24/07/2026","AADS","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.46","","0","0.00"
"24/07/2026","SCBPREF","0.99","0.90","0.99","0.99","0.99","0.99","0.00","0.90","","0","0.00"
"24/07/2026","GLD","533.93","466.72","462.39","462.39","462.39","462.39","0.00","","462.39","39","18,033.21"
"24/07/2026","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.55","","0","0.00"
"24/07/2026","MMH","0.11","0.10","0.11","0.11","0.11","0.11","0.00","0.11","","0","0.00"
"24/07/2026","HORDS","0.26","0.09","0.24","0.24","0.26","0.26","0.02","0.26","","10,000","2,600.00"
"24/07/2026","IIL","0.66","0.05","0.60","0.60","0.66","0.66","0.06","0.66","","500,500","330,330.00"
"24/07/2026","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.09","","0","0.00"
"23/07/2026","ACCESS","46.64","16.20","31.90","31.90","31.90","31.90","0.00","","31.90","643","20,511.70"
"23/07/2026","ADB","5.30","5.06","5.30","5.30","5.30","5.30","0.00","5.30","","2","10.60"
"23/07/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"23/07/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"23/07/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","0","0.00"
"23/07/2026","ALLGH","8.46","6.12","7.62","7.62","7.00","7.00","-0.62","","7.00","1,737","12,212.01"
"23/07/2026","BOPP","100.00","55.82","79.99","79.99","79.99","79.99","0.00","79.99","","0","0.00"
"23/07/2026","CAL","0.94","0.61","0.79","0.79","0.79","0.79","0.00","0.78","0.79","612,526","484,523.71"
"23/07/2026","CLYD","4.39","0.46","4.39","4.39","4.39","4.39","0.00","4.82","","1,000","4,390.00"
"23/07/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"23/07/2026","CPC","0.15","0.05","0.15","0.15","0.15","0.15","0.00","0.16","","0","0.00"
"23/07/2026","DASPHARMA","0.44","0.38","0.44","0.44","0.44","0.44","0.00","0.48","","0","0.00"
"23/07/2026","EGH","57.00","25.00","38.00","38.00","38.05","38.05","0.05","","","31,108","1,184,150.00"
"23/07/2026","EGL","12.16","3.48","10.04","10.04","10.04","10.04","0.00","","10.04","0","0.00"
"23/07/2026","ETI","2.82","0.76","2.00","2.00","1.95","1.95","-0.05","1.81","2.00","111,805","217,811.39"
"23/07/2026","FML","16.35","8.00","13.30","13.30","13.30","13.30","0.00","12.00","13.30","1,953","25,974.90"
"23/07/2026","FAB","8.40","7.71","8.40","8.40","8.40","8.40","0.00","8.00","9.24","0","0.00"
"23/07/2026","GCB","52.00","20.11","42.77","42.77","43.20","43.20","0.43","","42.77","14,463","627,155.00"
"23/07/2026","GGBL","16.50","6.60","11.95","11.95","11.95","11.95","0.00","","11.95","1,409","16,837.55"
"23/07/2026","GOIL","8.01","2.96","7.96","7.96","7.96","7.96","0.00","7.96","","10,188","81,096.48"
"23/07/2026","KASA","2.30","1.20","2.06","2.06","2.03","2.03","-0.03","2.06","2.26","244,342","496,601.82"
"23/07/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","0","0.00"
"23/07/2026","MTNGH","6.98","4.20","6.80","6.80","6.98","6.98","0.18","7.00","7.13","824,406","5,759,794.30"
"23/07/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"23/07/2026","RBGH","5.58","1.30","4.08","4.08","4.20","4.20","0.12","4.20","","3,746","15,714.48"
"23/07/2026","SCB","79.41","29.22","70.00","70.00","70.00","70.00","0.00","","70.00","678","47,460.00"
"23/07/2026","SIC","6.09","1.20","6.00","6.00","6.00","6.00","0.00","","6.00","19,160","114,960.00"
"23/07/2026","SOGEGH","11.51","4.49","6.80","6.80","6.80","6.80","0.00","","6.80","11,470","77,996.00"
"23/07/2026","TBL","1.20","1.20","1.20","1.20","1.20","1.20","0.00","1.32","","0","0.00"
"23/07/2026","TOTAL","42.00","32.91","40.00","40.00","38.83","38.83","-1.17","39.99","40.00","6,635","259,438.60"
"23/07/2026","TLW","13.11","11.92","11.92","11.92","13.11","13.11","1.19","13.11","","1,000","13,110.00"
"23/07/2026","UNIL","30.00","19.79","29.50","29.50","29.50","29.50","0.00","","29.50","17","501.50"
"23/07/2026","ZEN","12.61","5.00","10.00","10.00","10.00","10.00","0.00","10.00","","325","3,250.00"
"23/07/2026","AADS","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.46","","0","0.00"
"23/07/2026","SCBPREF","0.99","0.90","0.99","0.99","0.99","0.99","0.00","0.90","","0","0.00"
"23/07/2026","GLD","533.93","466.72","462.39","462.39","462.39","462.39","0.00","462.39","","14","6,473.46"
"23/07/2026","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.55","","0","0.00"
"23/07/2026","MMH","0.11","0.10","0.11","0.11","0.11","0.11","0.00","0.11","","0","0.00"
"23/07/2026","HORDS","0.24","0.09","0.22","0.22","0.24","0.24","0.02","0.24","","2,002","480.48"
"23/07/2026","IIL","0.60","0.05","0.55","0.55","0.60","0.60","0.05","0.60","","20,000","12,000.00"
"23/07/2026","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.09","","0","0.00"
"22/07/2026","ACCESS","46.64","16.20","31.90","31.90","31.90","31.90","0.00","","31.89","0","0.00"
"22/07/2026","ADB","5.30","5.06","5.30","5.30","5.30","5.30","0.00","5.30","","14","74.20"
"22/07/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"22/07/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"22/07/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","0","0.00"
"22/07/2026","ALLGH","8.46","6.12","7.62","7.62","7.62","7.62","0.00","","7.62","8,736","66,568.32"
"22/07/2026","BOPP","100.00","55.82","80.00","80.00","79.99","79.99","-0.01","","79.50","700","55,993.00"
"22/07/2026","CAL","0.94","0.61","0.79","0.79","0.79","0.79","0.00","0.78","0.79","241,476","190,512.51"
"22/07/2026","CLYD","4.39","0.46","4.25","4.25","4.39","4.39","0.14","4.39","","105,941","464,765.96"
"22/07/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"22/07/2026","CPC","0.15","0.05","0.15","0.15","0.15","0.15","0.00","0.16","","0","0.00"
"22/07/2026","DASPHARMA","0.44","0.38","0.44","0.44","0.44","0.44","0.00","0.48","","1,879","883.13"
"22/07/2026","EGH","57.00","25.00","38.00","38.00","38.00","38.00","0.00","38.00","","1,218","46,284.00"
"22/07/2026","EGL","12.16","3.48","10.04","10.04","10.04","10.04","0.00","","10.04","3,012","30,240.48"
"22/07/2026","ETI","2.82","0.76","2.00","2.00","2.00","2.00","0.00","1.96","2.00","119,959","239,918.00"
"22/07/2026","FML","16.35","8.00","13.30","13.30","13.30","13.30","0.00","13.30","","3,502","46,576.60"
"22/07/2026","FAB","8.40","7.71","8.40","8.40","8.40","8.40","0.00","8.40","9.24","105","970.20"
"22/07/2026","GCB","52.00","20.11","42.77","42.77","42.77","42.77","0.00","41.00","42.77","9,844","421,027.88"
"22/07/2026","GGBL","16.50","6.60","11.95","11.95","11.95","11.95","0.00","","11.95","40,684","486,173.80"
"22/07/2026","GOIL","8.01","2.96","7.96","7.96","7.96","7.96","0.00","7.96","","5,335","42,466.60"
"22/07/2026","KASA","2.30","1.20","2.13","2.13","2.06","2.06","-0.07","2.13","2.15","693,864","1,433,076.19"
"22/07/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","0","0.00"
"22/07/2026","MTNGH","6.80","4.20","6.69","6.69","6.80","6.80","0.11","6.80","6.90","291,825","1,983,924.88"
"22/07/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"22/07/2026","RBGH","5.58","1.30","4.08","4.08","4.08","4.08","0.00","4.08","4.11","2,735","11,158.95"
"22/07/2026","SCB","79.41","29.22","70.00","70.00","70.00","70.00","0.00","","70.00","699","48,930.00"
"22/07/2026","SIC","6.09","1.20","6.00","6.00","6.00","6.00","0.00","","6.00","24,228","145,368.00"
"22/07/2026","SOGEGH","11.51","4.49","6.80","6.80","6.80","6.80","0.00","","6.80","2,144","14,579.20"
"22/07/2026","TBL","1.20","1.20","1.20","1.20","1.20","1.20","0.00","1.32","","0","0.00"
"22/07/2026","TOTAL","42.00","32.91","40.00","40.00","40.00","40.00","0.00","","40.00","371","14,840.00"
